model,Costs,Revenues
2021,-3.32640775013715e-12,3.2369522102726477e-12
2024,-1030.1598592930238,3.0963322291609026
2025,-1995.9099205038804,14.844520718619863
2025_eG,-1372.6608255341787,41.100491151269
2025_eSBaG,-1265.2137844666,65.56240580975502
2025_eSG,-1264.6943487226326,59.74990725292552
2025_eSWBaG,-1212.4957958411258,72.562176310591
2025_eSWBaG_Ix,-1245.4525995357717,68.8228938849148
2025_eSoG,-1318.1852964664847,47.89766691683286
2030-BR_cPN_eSG,-271.37915503779635,23546.242326714804
